epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
107,8449.26,0.20931,0.27394,0.17126,0.78938,0,0.99901,0.99746,0.99499,0.99208,0.99895,0.99741,0.99499,0.96491,0.15965,0.24311,0.09073,0.75786,0,0.000916833,0.000916833,0.000916833
108,8528.75,0.20936,0.27317,0.17035,0.78944,0,0.99892,0.99759,0.99499,0.99207,0.99887,0.99754,0.99499,0.96503,0.15963,0.24306,0.09069,0.75784,0,0.000901363,0.000901363,0.000901363
109,8607.84,0.20804,0.27234,0.1688,0.78859,0,0.99895,0.99749,0.99499,0.99206,0.9989,0.99744,0.99499,0.96515,0.15944,0.2429,0.09055,0.75781,0,0.00088592,0.00088592,0.00088592
110,8687.38,0.20835,0.27391,0.17054,0.78896,0,0.99892,0.99758,0.99499,0.99207,0.99886,0.99753,0.99499,0.96498,0.15942,0.24288,0.09048,0.75779,0,0.000870508,0.000870508,0.000870508
111,8766.58,0.20883,0.27342,0.171,0.7887,0,0.99892,0.99758,0.99499,0.99206,0.99886,0.99752,0.99499,0.96504,0.15925,0.24277,0.09037,0.75776,0,0.00085513,0.00085513,0.00085513
112,8845.6,0.20721,0.27115,0.17032,0.7886,0,0.99893,0.99758,0.99499,0.99217,0.99887,0.99752,0.99499,0.96502,0.1591,0.2427,0.09026,0.75773,0,0.00083979,0.00083979,0.00083979
113,8924.96,0.20856,0.27401,0.16867,0.78875,0,0.99899,0.99754,0.99499,0.99209,0.99893,0.99748,0.99499,0.96509,0.15904,0.24265,0.08999,0.75773,0,0.000824492,0.000824492,0.000824492
114,9003.94,0.20665,0.2712,0.16834,0.7897,0,0.999,0.99751,0.99499,0.99208,0.99894,0.99746,0.99499,0.965,0.159,0.2427,0.08994,0.7577,0,0.000809241,0.000809241,0.000809241
115,9083.43,0.20751,0.27401,0.16693,0.789,0,0.99902,0.99744,0.99499,0.99209,0.99897,0.99738,0.99499,0.96497,0.15894,0.24258,0.08987,0.75769,0,0.000794038,0.000794038,0.000794038
116,9162.52,0.20645,0.26998,0.16701,0.78952,0,0.99902,0.99745,0.99499,0.99208,0.99896,0.99739,0.99499,0.9651,0.15889,0.24258,0.08977,0.75769,0,0.000778889,0.000778889,0.000778889
